state,total_population,households_with_car,electric_lighting,total_households,income_330k_545k,income_above_545k,income_middle_high,electric_pct,car_per_1000,station_count,stations_per_million,pop_norm,car_norm,income_norm,electric_norm,demand_score,supply_score,gap_score,station_score,showroom_score
Andhra Pradesh,84580777,562769,19377222,25594996,9156,6449,15605,75.70707180419173,21.987461924197994,59.0,0.6975580278719833,0.42330106627397956,0.10844601203321293,0.13483621784624955,0.7570707180419173,32.2536538372046,12.717747172031773,19.53590666517283,56.194042438112454,49.40941234476565
Arunachal Pradesh,1383727,20729,171821,375960,294,172,466,45.701936376210234,55.13618470050005,0.0,0.0,0.006925132817496993,0.27194131683363804,0.004026509292941512,0.45701936376210234,13.996865758208418,0.0,13.996865758208418,44.78696759643972,35.363174927400635
Assam,31205576,239904,2358900,9074503,402,202,604,25.994812057475762,26.437150332089814,10.0,0.3204555493543846,0.15617441767523257,0.1303926543646418,0.005218909040636638,0.25994812057475764,12.755615512386465,5.842485490413636,6.913130021972829,40.73930238192087,38.57780196820746
Bihar,104099452,323190,3098435,23414674,2061,1576,3637,13.232876955707349,13.802882756343308,9.0,0.08645578652998097,0.5209860986514342,0.06807823452510801,0.03142578175628386,0.13232876955707348,22.707045403191096,1.5762456895546388,21.130799713636456,49.164849334320266,53.62560091414459
Chandigarh,1055450,60494,231204,298367,7843,7897,15740,77.48980282672011,202.75030415562043,2.0,1.894926334738737,0.00528220626772998,1.0,0.13600269586029914,0.7748980282672011,40.20841503988604,34.547941636268895,5.6604734036171465,55.29204426249525,27.173178522485408
Chhattisgarh,25545198,126332,4231941,6799689,1569,1263,2832,62.237272910569885,18.5790850140352,18.0,0.7046334109447888,0.12784594721304027,0.09163530033363046,0.024470116561395625,0.6223727291056989,16.712834511417547,12.846744229580839,3.8660902818367084,44.261515736303544,35.71235116894498
Goa,1458545,79373,312761,576582,683,645,1328,54.24397570510352,137.66125199884837,8.0,5.484918189017137,0.007299574153930763,0.6789693982071014,0.011474687427095124,0.5424397570510352,25.653183592008016,100.0,-74.34681640799198,24.647170329780653,0.5997257182004304
Gujarat,60439692,743279,11013214,17524030,21848,12669,34517,62.84635440592147,42.41484407410852,77.0,1.2739972268554909,0.3024822776086688,0.20919743746255062,0.29824682674777286,0.6284635440592147,32.699939482449714,23.227278565549277,9.472660916900438,48.85950438903058,46.40473702079434
Haryana,25351462,495654,4270297,7088008,12778,4461,17239,60.246785838842165,69.92853281203972,62.0,2.4456183237085103,0.12687635745181525,0.3448997677377898,0.1489549221051904,0.6024678583884217,25.824057632714364,44.58805472441787,-18.76399709170351,39.37722682875332,28.303501020422996
Himachal Pradesh,6864602,122529,1428783,2933663,2278,1564,3842,48.703037806319266,41.76655600864857,6.0,0.8740492165459848,0.03435524535494031,0.20599996721381375,0.033197100222062854,0.48703037806319266,14.487815944267716,15.935501431838292,-1.4476854875705758,40.11061383663685,31.62092109294139
Jammu And Kashmir,12541302,150465,1715557,3603632,2725,1193,3918,47.60633161210689,41.75370848077717,0.0,0.0,0.06276540246330431,0.20593660095685593,0.03385378414108336,0.47606331612106895,15.332498455480167,0.0,15.332498455480167,45.522960415457625,38.21240261044815
Jharkhand,32988134,171952,2829867,7796033,1859,1634,3493,36.29880735497143,22.05634583640167,22.0,0.6669064700658728,0.16509557835569325,0.10878575954920582,0.030181538541297643,0.3629880735497143,14.697348797957567,12.158913717277855,2.5384350806797116,40.74066989746584,37.42817159764094
Karnataka,61095297,833478,11945467,17999066,17178,7569,24747,66.36714927319007,46.30673613841962,134.0,2.1932948455917973,0.3057633812518117,0.22839293056190446,0.21382838084211073,0.6636714927319006,31.712323519892294,39.987740382046105,-8.275416862153811,45.017867788816616,38.120860635360586
Kerala,33406061,788957,7284706,11217853,4418,1542,5960,64.93850472100142,70.33048124271195,93.0,2.7839259468513813,0.16718717589120283,0.34688224777571725,0.05149784417581848,0.6493850472100142,25.55182916313071,50.75601587687936,-25.20418671374865,39.7141564133869,24.631880924558878
Madhya Pradesh,72626809,401774,10044644,18498763,6164,3989,10153,54.29900366851557,21.71896574922334,20.0,0.27538040394973157,0.363475091861318,0.10712174188677423,0.08772778723441024,0.5429900366851557,25.737716993453073,5.020683890985766,20.71703310246731,52.40028315998239,48.596222470333416
Maharashtra,112374333,1407482,20004164,33569762,72075,43658,115733,59.5898296806513,41.92707711183654,260.0,2.3136956016459735,0.562399361508907,0.20679168540065682,1.0,0.595898296806513,58.792244239925864,42.182864391284085,16.60937984864178,50.270921172025375,69.91997511586231
Manipur,2855794,30423,346635,609964,121,36,157,56.82876366474087,49.87671403558243,0.0,0.0,0.014292380469132284,0.24600068662436975,0.0013565707274502518,0.5682876366474087,15.208479299926259,0.0,15.208479299926259,46.714537879509535,35.54093043824314
Meghalaya,2966889,28837,327958,721467,222,164,386,45.4571033740975,39.9699501155285,0.0,0.0,0.014848377158045508,0.1971387923780853,0.003335263062393613,0.454571033740975,12.350110092658191,0.0,12.350110092658191,43.47964783712257,35.6197510924034
Mizoram,1097206,16072,186155,269431,224,175,399,69.09190108042505,59.65163622597251,0.0,0.0,0.005491182348942101,0.2942123143755536,0.0034475905748576467,0.6909190108042504,17.997474168037012,0.0,17.997474168037012,49.867361974064345,35.295619099458705
Nagaland,1978502,31132,326405,534424,242,146,388,61.07603700432615,58.25337185455743,0.0,0.0,0.009901800810191198,0.2873158296711862,0.00335254421815731,0.6107603700432616,16.7746779262392,0.0,16.7746779262392,48.25857801859469,35.44713935490141
Nct Of Delhi,16787941,692279,3310809,4605555,9441,6921,16362,71.8872969707234,150.31391439251078,0.0,0.0,0.08401853917521541,0.7413745445093772,0.14137713530280904,0.718872969707234,35.7925354120457,0.0,35.7925354120457,61.725506459588686,42.18196293021681
Orissa,41974218,172660,4155886,12759133,2584,1351,3935,32.57185264860865,13.532267435412736,0.0,0.0,0.21006819593790757,0.06674351237976976,0.034000673965074786,0.32571852648608646,14.756769413739176,0.0,14.756769413739176,44.15128665545435,43.372407076779005
Pondicherry,1247953,16879,294205,387999,5391,4679,10070,75.8262263562535,43.502689439921234,1.0,0.8013122289060566,0.006245625238933565,0.21456288127948192,0.08701061927021679,0.758262263562535,19.13186835054317,14.609374311372306,4.522494039170862,45.261059360596654,32.71563445248887
Punjab,27743338,709711,5225793,7847447,17946,9560,27506,66.59226879773766,90.43845724603173,24.0,0.8650725446231452,0.13884696941716929,0.4460583061646899,0.2376677352181314,0.6659226879773766,31.941635283832102,15.77184043246707,16.169794851365033,51.67347683561629,41.46953183478139
Rajasthan,68548437,586254,8430040,18070963,13311,10589,23900,46.64964451534763,32.44176859860761,67.0,0.9774110531506356,0.34306408031123564,0.16000848301419573,0.20650981137618485,0.4664964451534763,28.16764684795491,17.81997505646992,10.347671791484988,47.47602845574953,46.96554588241432
Sikkim,610577,10599,118578,169022,34,29,63,70.15536439043439,62.70781318408254,2.0,3.275590138508329,0.0030557521970076915,0.3092859142443078,0.0005443564065564705,0.7015536439043438,18.37601275173203,59.719945232132886,-41.34393248040085,32.3924801592434,14.221301187845453
