date,forecast,lower,upper,year
2037-03-01,448696,349983,547409,2037
2037-04-01,445143,347211,543074,2037
2037-05-01,446338,348144,544532,2037
2037-06-01,453255,353539,552971,2037
2037-07-01,465552,363131,567974,2037
2037-08-01,481116,375270,586961,2037
2037-09-01,496402,387193,605610,2037
2037-10-01,507706,396011,619402,2037
2037-11-01,512698,399904,625492,2037
2037-12-01,511269,398790,623749,2037
2038-01-01,505255,394099,616412,2038
2038-02-01,497416,387984,606847,2038
2038-03-01,490485,382578,598392,2038
2038-04-01,486763,379675,593851,2038
2038-05-01,488032,380665,595400,2038
2038-06-01,495288,386324,604251,2038
2038-07-01,508138,396347,619928,2038
2038-08-01,524361,409002,639721,2038
2038-09-01,540280,421419,659142,2038
2038-10-01,552061,430608,673515,2038
2038-11-01,557287,434684,679890,2038
2038-12-01,555828,433546,678110,2038
2039-01-01,549569,428664,670474,2039
2039-02-01,541376,422273,660479,2039
2039-03-01,534120,416614,651627,2039
2039-04-01,530230,413579,646880,2039
2039-05-01,531573,414627,648519,2039
2039-06-01,539166,420550,657783,2039
2039-07-01,552569,431004,674134,2039
2039-08-01,569454,444174,694733,2039
2039-09-01,586005,457084,714926,2039
2039-10-01,598262,466645,729880,2039
2039-11-01,603722,470903,736541,2039
2039-12-01,602232,469741,734724,2039
2040-01-01,595728,464668,726789,2040
2040-02-01,587183,458003,716363,2040
2040-03-01,579602,452090,707115,2040
2040-04-01,575543,448924,702162,2040
2040-05-01,576960,450029,703891,2040
2040-06-01,584891,456215,713568,2040
2040-07-01,598847,467101,730593,2040
2040-08-01,616392,480786,751998,2040
2040-09-01,633576,494189,772963,2040
2040-10-01,646310,504122,788498,2040
2040-11-01,652003,508562,795444,2040
2040-12-01,650484,507377,793590,2040
2041-01-01,643734,502113,785356,2041
2041-02-01,634836,495172,774500,2041
2041-03-01,626930,489006,764855,2041
2041-04-01,622702,485708,759697,2041
2041-05-01,624194,486871,761516,2041
2041-06-01,632463,493321,771605,2041
2041-07-01,646971,504637,789305,2041
2041-08-01,665177,518838,811515,2041
2041-09-01,682993,532735,833252,2041
2041-10-01,696204,543039,849369,2041
2041-11-01,702131,547662,856599,2041
2041-12-01,700581,546453,854709,2041
2042-01-01,693587,540998,846176,2042
2042-02-01,684335,533782,834889,2042
2042-03-01,676105,527362,824848,2042
2042-04-01,671708,523932,819484,2042
2042-05-01,673273,525153,821393,2042
2042-06-01,681880,531867,831894,2042
2042-07-01,696941,543614,850268,2042
2042-08-01,715808,558330,873285,2042
2042-09-01,734257,572721,895794,2042
2042-10-01,747944,583396,912492,2042
2042-11-01,754105,588202,920008,2042
2042-12-01,752524,586969,918080,2042
2043-01-01,745285,581323,909248,2043
2043-02-01,735681,573831,897531,2043
2043-03-01,727126,567158,887093,2043
2043-04-01,722560,563597,881523,2043
2043-05-01,724199,564875,883523,2043
2043-06-01,733144,571853,894436,2043
2043-07-01,748758,584031,913485,2043
2043-08-01,768285,599262,937308,2043
2043-09-01,787367,614146,960588,2043
2043-10-01,801530,625194,977867,2043
2043-11-01,807925,630181,985668,2043
2043-12-01,806314,628925,983704,2043
2044-01-01,798830,623088,974573,2044
2044-02-01,788873,615321,962425,2044
2044-03-01,779993,608394,951591,2044
2044-04-01,775259,604702,945815,2044
2044-05-01,776971,606038,947905,2044
2044-06-01,786255,613279,959231,2044
2044-07-01,802421,625888,978954,2044
2044-08-01,822609,641635,1003582,2044
2044-09-01,842323,657012,1027635,2044
2044-10-01,856963,668431,1045495,2044
2044-11-01,863591,673601,1053582,2044
2044-12-01,861951,672322,1051580,2044
2045-01-01,854222,666293,1042150,2045
2045-02-01,843912,658251,1029572,2045
2045-03-01,834706,651071,1018341,2045
2045-04-01,829803,647246,1012360,2045
2045-05-01,831590,648640,1014540,2045
2045-06-01,841211,656145,1026278,2045
2045-07-01,857930,669186,1046675,2045
2045-08-01,878779,685447,1072110,2045
2045-09-01,899126,701318,1096934,2045
2045-10-01,914242,713109,1115375,2045
2045-11-01,921104,718461,1123747,2045
2045-12-01,919433,717158,1121709,2045
2046-01-01,911459,710938,1111980,2046
2046-02-01,900796,702621,1098971,2046
2046-03-01,891266,695187,1087344,2046
2046-04-01,886194,691231,1081157,2046
2046-05-01,888055,692683,1083427,2046
2046-06-01,898014,700451,1095577,2046
2046-07-01,915286,713923,1116649,2046
2046-08-01,936795,730700,1142890,2046
2046-09-01,957775,747064,1168485,2046
2046-10-01,973368,759227,1187508,2046
2046-11-01,980463,764761,1196165,2046
2046-12-01,978762,763434,1194090,2046
2047-01-01,970543,757023,1184062,2047
2047-02-01,959527,748431,1170623,2047
2047-03-01,949672,740744,1158600,2047
2047-04-01,944431,736657,1152206,2047
2047-05-01,946366,738166,1154567,2047
2047-06-01,956663,746198,1167129,2047
2047-07-01,974488,760101,1188875,2047
2047-08-01,996657,777393,1215922,2047
2047-09-01,1018270,794251,1242290,2047
2047-10-01,1034339,806785,1261894,2047
2047-11-01,1041669,812502,1270836,2047
2047-12-01,1039937,811151,1268724,2047
2048-01-01,1031473,804549,1258397,2048
2048-02-01,1020104,795681,1244527,2048
2048-03-01,1009924,787741,1232107,2048
2048-04-01,1004515,783522,1225508,2048
2048-05-01,1006524,785088,1227959,2048
2048-06-01,1017159,793384,1240934,2048
2048-07-01,1035536,807718,1263354,2048
2048-08-01,1058366,825526,1291207,2048
2048-09-01,1080612,842877,1318346,2048
2048-10-01,1097157,855783,1338532,2048
2048-11-01,1104721,861682,1347759,2048
2048-12-01,1102959,860308,1345610,2048
2049-01-01,1094250,853515,1334984,2049
2049-02-01,1082528,844372,1320684,2049
2049-03-01,1072023,836178,1307868,2049
2049-04-01,1066445,831827,1301063,2049
2049-05-01,1068527,833451,1303604,2049
2049-06-01,1079501,842011,1316991,2049
2049-07-01,1098431,856776,1340086,2049
2049-08-01,1121921,875099,1368744,2049
2049-09-01,1144800,892944,1396656,2049
2049-10-01,1161822,906221,1417422,2049
2049-11-01,1169619,912303,1426935,2049
2049-12-01,1167827,910905,1424749,2049
